0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive
Rk,Team,Rec,FBS,NPD,,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
1,Ohio State,14-2,14-2,2.29,,3.55,3,2.47,19,3.54,3,4.79,10,,1.26,3,.56,10,1.17,2,3.00,37
2,Army,12-2,11-2,1.94,,3.60,2,2.23,25,3.60,1,5.05,3,,1.67,19,-.14,1,1.58,21,3.93,96
3,Indiana,11-2,10-2,1.83,,3.50,4,3.14,6,3.27,4,4.25,23,,1.66,18,1.71,70,1.33,4,3.62,80
4,Ole Miss,10-3,9-3,1.78,,2.98,15,2.55,15,2.93,10,3.72,49,,1.20,2,1.08,30,1.18,3,1.78,1
5,Notre Dame,14-2,14-2,1.75,,3.07,8,3.20,5,2.76,19,3.80,44,,1.32,4,.49,8,1.41,10,2.46,18
6,Texas,13-3,13-3,1.61,,2.74,23,2.00,36,2.63,27,3.74,48,,1.14,1,.46,5,1.10,1,2.00,4
7,Penn State,13-3,13-3,1.55,,3.13,7,2.71,10,2.94,9,4.31,20,,1.58,8,1.52,61,1.40,9,2.88,34
8,Oregon,13-1,12-1,1.50,,3.38,5,3.82,1,2.85,14,5.05,2,,1.89,35,1.22,39,1.63,24,4.92,127
9,Miami,10-3,9-3,1.46,,3.83,1,3.57,4,3.60,1,5.17,1,,2.38,80,2.21,105,2.31,83,3.08,42
10,Boise State,12-2,11-2,1.36,,3.16,6,3.68,3,2.71,21,4.22,28,,1.80,28,1.47,56,1.78,36,2.50,19
11,Tennessee,10-3,9-3,1.18,,2.57,37,1.36,80,2.24,56,4.00,35,,1.40,5,1.00,25,1.35,7,2.35,13
12,Alabama,9-4,8-4,1.16,,2.63,29,1.50,68,2.76,20,3.32,78,,1.47,6,.62,13,1.44,13,2.44,17
13,Navy,10-3,9-3,1.06,,2.91,16,2.50,17,2.53,31,4.55,14,,1.85,33,1.19,37,2.08,64,1.94,3
14,Arizona State,11-3,11-3,1.04,,3.03,12,1.59,65,3.02,5,4.24,27,,1.99,43,1.78,76,1.82,41,3.17,46
15,SMU,11-3,10-3,1.04,,2.69,26,2.45,20,2.69,23,2.82,104,,1.65,16,1.41,52,1.44,12,2.57,20
,,,,,,,,,,,,,,,,,,,,,,
Rk,Team,Rec,FBS,NPD,,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
16,Clemson,10-4,9-4,.98,,2.74,24,1.67,59,2.31,46,4.62,12,,1.76,26,.96,23,1.80,37,2.78,26
17,UNLV,11-3,10-3,.97,,2.63,30,.92,111,2.59,28,3.65,58,,1.66,17,.97,24,1.70,30,3.08,42
18,James Madison,9-4,8-4,.94,,2.53,44,1.41,75,2.58,29,3.42,72,,1.60,10,.74,16,1.52,17,3.00,37
19,Ohio,11-3,10-3,.93,,2.56,39,1.72,51,2.50,33,4.25,23,,1.64,14,.54,9,1.57,20,3.13,45
20,Memphis,11-2,10-2,.89,,3.04,11,2.20,27,3.01,6,3.70,51,,2.16,59,.83,18,2.25,79,3.33,58
21,Texas State,8-5,7-5,.87,,3.06,9,2.50,17,2.84,15,4.24,26,,2.19,65,.00,2,2.40,89,4.13,110
22,BYU,11-2,10-2,.80,,2.62,32,1.92,45,2.42,39,3.88,40,,1.82,29,1.35,47,1.80,39,2.35,12
23,Tulane,9-5,8-5,.79,,2.71,25,.65,126,2.86,13,4.21,30,,1.92,38,1.18,36,1.82,42,3.40,64
24,Jacksonville State,9-5,9-5,.75,,2.89,19,1.09,99,2.89,12,4.95,5,,2.14,57,1.04,29,2.44,95,1.91,2
25,Georgia,11-3,10-3,.74,,2.58,36,2.11,31,2.29,49,4.55,13,,1.85,32,.58,11,2.00,57,3.37,62
26,Colorado,9-4,8-4,.67,,2.55,40,1.48,70,2.29,50,4.10,32,,1.88,34,1.28,41,1.78,35,2.81,30
27,Minnesota,8-5,7-5,.65,,2.30,56,.96,105,2.31,47,4.44,15,,1.65,15,1.00,25,1.38,8,3.23,53
28,TCU,9-4,8-4,.65,,2.91,17,1.94,42,2.89,11,3.71,50,,2.26,69,1.28,41,2.24,78,4.36,116
29,Iowa,8-5,7-5,.64,,2.22,68,1.85,46,1.82,92,3.26,82,,1.58,9,.65,14,1.71,31,3.70,85
